age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19,2,430828,5,1,0,5,4,0,0,0,25,38,0
48,4,265477,8,2,9,0,4,1,0,0,40,38,0
31,2,430828,1,2,6,0,4,1,0,0,43,38,0
53,4,88506,9,2,9,0,4,1,0,0,40,38,0
24,2,172987,9,2,12,0,4,1,0,0,50,38,0
49,2,94638,5,5,0,4,4,0,0,0,40,38,0
25,2,289980,5,4,5,1,4,1,0,0,35,38,0
57,0,337895,9,2,9,0,2,1,0,0,40,38,1
53,2,144361,5,2,6,0,4,1,0,0,38,38,0
44,2,128354,10,0,3,4,4,0,0,0,40,38,0
41,5,101603,7,2,2,0,4,1,0,0,40,38,0
29,2,271466,7,4,9,1,4,1,0,0,43,38,0
25,2,32372,6,2,3,5,3,0,0,0,40,38,0
47,2,51835,11,2,9,5,4,0,0,1887,60,15,1
50,0,251585,9,0,3,1,4,1,0,0,55,38,1
47,3,109832,5,0,3,1,4,1,0,0,60,38,0
43,2,237993,6,2,12,0,4,1,0,0,40,38,1
46,2,216666,0,2,6,0,4,1,0,0,40,25,0
35,2,56352,7,2,7,0,4,1,0,0,40,32,0
41,2,147372,5,2,0,0,4,1,0,0,48,38,0
30,2,188146,5,2,6,0,4,1,5013,0,40,38,0
30,2,59496,9,2,11,0,4,1,2407,0,40,38,0
48,2,149640,5,2,13,0,4,1,0,0,40,38,0
42,2,116632,11,2,9,0,4,1,0,0,45,38,1
29,2,105598,6,0,12,1,4,1,0,0,58,38,0
36,2,155537,5,2,2,0,4,1,0,0,40,38,0
28,2,183175,6,0,0,1,4,0,0,0,40,38,0
53,2,169846,5,2,0,5,4,0,0,0,40,38,1
49,3,191681,6,2,3,0,4,1,0,0,50,38,1
19,2,101509,6,4,9,3,4,1,0,0,32,38,0
31,2,309974,9,5,11,3,2,0,0,0,40,38,0
29,4,162298,9,2,11,0,4,1,0,0,70,38,1
23,2,211678,6,4,6,1,4,1,0,0,40,38,0
67,2,124744,6,2,9,2,4,1,0,0,20,38,0
27,2,213921,5,4,7,3,4,1,0,0,40,25,0
40,2,32372,8,2,0,0,4,1,0,0,40,38,0
18,2,309634,3,4,7,3,4,0,0,0,22,38,0
31,1,125927,0,2,4,0,4,1,0,0,40,38,0
18,2,430828,5,4,11,1,4,1,0,0,30,38,0
52,2,276515,9,2,7,0,4,1,0,0,40,4,0
46,2,51618,5,2,7,5,4,0,0,0,40,38,0
59,2,159937,5,2,11,0,4,1,0,0,48,38,0
44,2,343591,5,0,2,1,4,0,8614,0,40,38,1
53,2,346253,5,0,11,3,4,0,0,0,35,38,0
49,1,268234,5,2,10,0,4,1,0,0,40,38,1
33,2,202051,10,2,9,0,4,1,0,0,50,38,0
30,2,54334,1,4,11,1,4,1,0,0,40,38,0
43,0,410867,11,4,9,1,4,0,0,0,50,38,1
57,2,249977,7,2,9,0,4,1,0,0,40,38,0
37,2,286730,6,0,2,4,4,0,0,0,40,38,0
28,2,212563,6,0,6,4,2,0,0,0,25,38,0
34,1,226296,9,2,10,0,4,1,0,0,40,38,1
29,1,115585,6,4,5,1,4,1,0,0,50,38,0
48,4,191277,11,2,9,0,4,1,0,1887,60,38,1
37,2,202683,6,2,11,0,4,1,0,0,48,38,1
48,2,171095,8,0,3,4,4,0,0,0,40,8,0
32,0,249409,5,4,7,3,2,1,0,0,40,38,0
67,2,124191,10,2,3,0,4,1,0,0,40,38,1
44,2,198282,9,2,3,0,4,1,8614,0,60,38,1
47,4,149116,10,4,9,1,4,0,0,0,50,38,0
20,2,188300,6,4,12,3,4,0,0,0,40,38,0
29,2,103432,5,4,2,1,4,1,0,0,40,38,0
32,3,317660,5,2,2,0,4,1,7688,0,40,38,1
30,2,194901,3,4,5,3,4,1,0,0,40,38,0
31,1,189265,5,4,0,1,4,0,0,0,40,38,0
42,2,124692,5,2,5,0,4,1,0,0,40,38,0
24,2,430828,9,4,11,2,4,1,0,0,40,38,0
38,2,65324,11,2,9,0,4,1,0,0,40,38,1
56,4,335605,5,2,7,0,4,1,0,1887,50,1,1
28,2,377869,6,2,11,5,4,0,4064,0,25,38,0
36,2,102864,5,4,6,3,4,0,0,0,40,38,0
53,2,95647,1,2,5,0,4,1,0,0,50,38,0
56,3,303090,6,2,11,0,4,1,0,0,50,38,0
49,1,197371,7,2,2,0,2,1,0,0,40,38,1
55,2,247552,6,2,11,0,4,1,0,0,56,38,0
22,2,102632,5,4,2,1,4,1,0,0,41,38,0
21,2,199915,6,4,7,3,4,0,0,0,40,38,0
40,2,118853,9,2,3,0,4,1,0,0,60,38,0
30,2,77143,9,4,3,3,2,1,0,0,40,10,0
29,5,267989,9,2,9,0,4,1,0,0,50,38,1
19,2,301606,6,4,7,3,2,1,0,0,35,38,0
47,2,287828,9,2,3,5,4,0,0,0,40,38,1
20,2,111697,6,4,0,3,4,0,0,1719,28,38,0
31,2,114937,8,2,0,0,4,1,0,0,40,38,1
39,2,365739,6,0,2,1,4,1,0,0,40,38,0
28,2,69621,8,4,11,1,4,0,0,0,60,38,0
24,2,43323,5,4,7,1,4,0,0,1762,40,38,0
38,4,120985,5,2,2,0,4,1,4386,0,35,38,0
37,2,254202,9,2,11,0,4,1,0,0,50,38,0
46,2,146195,8,0,12,1,2,0,0,0,36,38,0
38,0,125933,10,2,9,0,4,1,0,0,40,19,1
43,4,56920,5,2,2,0,4,1,0,0,60,38,0
27,2,163127,7,2,0,5,4,0,0,0,35,38,0
20,2,34310,6,4,11,3,4,1,0,0,20,38,0
49,2,81973,6,2,2,0,1,1,0,0,40,38,1
61,3,66614,5,2,2,0,4,1,0,0,40,38,0
27,2,232782,6,4,11,3,4,0,0,0,40,38,0
19,2,316868,6,4,7,3,4,1,0,0,30,25,0
45,2,196584,7,4,9,1,4,0,0,1564,40,38,1
67,2,105376,6,4,12,2,4,1,0,0,40,38,0
31,2,185814,5,4,13,4,2,0,0,0,30,38,0
22,2,175374,6,2,7,0,4,1,0,0,24,38,0
36,2,108293,5,6,7,4,4,0,0,0,24,38,0
64,2,181232,3,2,2,0,4,1,0,1887,40,38,0
47,1,186009,6,0,0,4,4,0,0,0,38,25,0
34,2,198183,5,4,0,1,4,0,0,0,40,38,0
33,2,163003,9,4,3,2,1,0,0,0,40,29,0
21,2,296158,5,4,2,3,4,1,0,0,35,38,0
48,2,187715,5,2,2,0,4,1,0,0,46,38,0
23,2,214542,9,4,5,1,4,1,0,0,40,38,0
67,4,430828,6,5,11,4,2,1,0,1816,15,38,0
29,2,191535,5,0,2,1,4,1,0,0,60,38,0
42,2,228456,9,5,7,2,2,1,0,0,50,38,0
25,2,252752,5,4,7,4,4,0,0,0,40,38,0
44,3,78374,10,0,3,4,1,0,0,0,40,38,0
28,2,88419,5,4,3,1,1,0,0,0,40,8,0
45,4,201080,10,2,11,0,4,1,0,0,40,38,1
36,2,207157,6,0,7,4,4,0,0,0,40,25,0
39,0,235485,8,4,3,1,4,1,0,0,42,38,0
46,5,102628,10,6,10,4,4,1,0,0,40,38,0
18,2,32372,3,4,5,3,4,1,0,0,16,38,0
66,1,54826,7,6,9,1,4,0,0,0,20,38,0
27,2,124953,5,4,7,1,4,1,0,1887,40,38,0
28,5,175325,5,2,10,0,4,1,0,0,40,38,0
51,2,96062,6,2,11,0,4,1,0,1887,40,38,1
27,2,428030,9,4,2,1,4,1,0,0,50,38,0
28,5,149624,9,2,9,0,4,1,0,0,40,38,1
27,2,253814,5,3,11,4,4,0,0,0,25,38,0
21,2,312956,5,4,2,3,2,1,0,0,40,38,0
34,2,430828,5,4,5,1,2,1,0,0,40,38,0
18,2,183930,5,4,7,3,4,1,0,0,15,38,0
33,2,37274,9,2,9,0,4,1,0,0,65,38,0
44,1,181344,6,2,3,0,2,1,0,0,38,38,1
43,2,114580,6,0,0,1,4,0,0,0,40,38,0
30,2,430828,6,4,2,1,2,1,0,0,45,38,0
40,2,286370,0,2,6,0,4,1,0,0,40,25,1
37,0,32372,6,2,0,0,4,1,0,0,42,38,1
34,2,304030,5,2,0,0,2,1,0,0,40,38,0
41,4,143129,9,0,3,1,4,0,0,0,40,38,0
31,2,99928,10,2,9,5,4,0,0,0,50,38,0
58,5,109567,11,2,9,0,4,1,0,0,15,38,1
38,2,155222,6,0,6,1,2,0,0,0,28,38,0
24,2,159567,6,2,6,0,4,1,0,0,40,38,0
41,1,430828,9,2,2,0,2,1,0,0,40,38,0
47,2,120939,6,2,12,0,4,1,0,0,45,38,0
41,0,130760,9,2,12,0,4,1,0,0,24,38,0
23,2,197387,0,2,13,2,4,1,0,0,40,25,0
36,2,99374,6,0,2,1,4,1,0,0,40,38,0
40,0,56795,10,4,3,1,4,0,8614,0,55,38,1
35,2,138992,10,2,9,2,4,1,7298,0,40,38,1
24,4,32921,5,4,11,1,4,1,0,0,40,38,0
26,2,397317,10,4,9,1,4,0,0,1876,40,38,0
51,2,259323,9,2,3,0,4,1,0,0,50,38,1
42,1,254817,6,4,9,1,4,0,0,1340,40,38,0
37,5,48211,5,0,0,4,4,0,0,0,35,38,0
18,2,140164,3,4,11,3,4,0,0,0,40,38,0
36,2,128757,9,2,7,0,2,1,7298,0,36,38,1
35,2,36270,5,0,2,1,4,1,0,0,60,38,0
58,3,210563,5,2,11,5,4,0,8614,0,35,38,1
18,2,65368,3,4,11,3,4,0,0,0,15,38,0
44,1,160943,5,2,13,0,2,1,0,0,40,38,0
37,2,208358,5,2,2,0,4,1,0,0,40,38,1
35,2,153790,6,4,11,1,0,0,0,0,40,38,0
60,2,85815,5,2,2,0,1,1,0,0,40,38,0
54,3,125417,0,2,6,0,4,1,0,0,40,38,1
37,2,430828,9,4,3,1,2,1,0,0,60,38,1
50,2,313321,8,0,11,1,4,0,0,0,40,38,0
38,2,182609,9,2,11,0,4,1,0,0,50,30,0
45,2,109434,9,2,9,0,4,1,0,0,55,38,0
25,2,255004,2,4,2,1,4,1,0,0,40,38,0
31,2,197860,6,2,5,0,4,1,0,0,40,38,0
67,2,51744,5,4,7,1,2,1,0,1887,40,38,0
54,2,176681,5,2,0,0,2,1,0,0,20,38,0
53,1,140359,0,4,6,1,4,0,0,0,35,38,0
18,2,243313,5,4,11,3,4,0,0,0,40,38,0
66,4,167687,5,2,4,0,4,1,1409,0,50,38,0
67,2,314209,7,6,0,1,4,0,0,0,20,3,0
65,2,176796,5,0,0,1,4,0,0,0,40,38,0
35,2,430828,3,5,13,1,2,1,3674,0,40,38,0
41,2,130408,5,0,11,4,2,0,0,0,38,38,0
25,2,159732,6,4,0,1,4,1,0,0,42,38,0
33,2,110978,6,0,2,2,3,0,0,0,40,38,0
28,2,76714,11,4,9,1,4,1,0,0,55,38,1
59,5,268700,5,2,7,0,4,1,0,0,40,38,0
40,5,170525,6,4,0,1,4,0,0,0,38,38,0
41,2,180138,9,2,3,0,4,1,0,0,50,19,1
38,1,115076,10,2,3,0,4,1,0,0,70,38,1
23,2,115458,5,4,13,3,4,1,0,0,40,38,0
40,2,347890,9,2,9,0,4,1,0,0,40,38,1
41,4,196001,5,2,7,5,4,0,0,0,20,38,0
24,5,273905,8,2,10,0,4,1,0,0,50,38,0
38,2,179488,6,0,2,1,4,1,0,1741,40,38,0
58,2,236596,5,2,0,0,4,1,0,0,45,38,1
32,2,183916,5,4,7,1,4,0,0,0,34,38,0
40,2,207578,8,2,12,0,4,1,0,1887,60,38,1
41,2,112763,11,2,9,5,4,0,0,0,40,38,1
42,2,390781,9,2,0,5,2,0,0,0,40,38,0
59,1,171328,2,6,7,4,2,0,0,0,30,38,0
19,1,32372,6,4,0,3,4,1,0,0,40,38,0
58,2,259014,6,4,13,1,4,1,0,0,20,38,0
42,4,303044,5,2,4,0,1,1,0,0,40,0,1
20,2,117789,5,4,7,3,4,0,0,0,40,38,0
32,2,172579,5,5,7,1,4,0,0,0,30,38,0
45,2,187666,7,6,3,1,4,0,0,0,45,38,0
50,2,204518,0,0,2,1,4,1,0,0,40,38,0
36,2,150042,9,0,9,3,4,0,0,0,40,38,0
45,2,98092,5,2,11,0,4,1,0,0,60,38,0
18,2,245918,3,4,7,3,4,1,0,0,15,38,0
59,2,146013,6,2,11,0,4,1,4064,0,40,38,0
26,2,378322,3,2,2,0,4,1,0,0,40,38,0
37,3,257295,6,2,3,0,1,1,0,0,70,36,1
64,2,32372,5,2,3,0,4,1,0,0,40,38,1
33,2,185480,9,4,9,1,4,0,0,0,45,38,0
33,2,222205,5,2,2,5,4,0,0,0,40,38,1
61,2,69867,5,2,3,0,4,1,0,0,40,38,1
18,2,191260,1,4,7,3,4,1,1055,0,24,38,0
50,4,32372,10,2,4,0,4,1,2407,0,70,38,0
27,1,209109,10,4,9,3,4,1,0,0,35,38,0
30,2,70377,5,0,9,3,4,0,0,0,40,38,0
43,2,430828,5,2,5,0,2,1,0,0,40,38,0
44,2,170924,6,2,2,0,4,1,7298,0,40,38,1
35,2,190174,6,4,3,1,4,0,0,0,40,38,0
25,2,193787,6,4,12,3,4,0,0,0,40,38,0
24,2,279472,6,2,6,5,4,0,7298,0,48,38,1
22,2,34918,9,4,9,1,4,0,0,0,15,10,0
42,1,97688,6,2,2,0,4,1,5178,0,40,38,1
34,2,175413,8,0,11,4,2,0,0,0,45,38,0
60,2,173960,9,0,9,1,4,0,0,0,42,38,0
21,2,205759,5,4,5,3,4,1,0,0,40,38,0
57,0,425161,10,2,11,0,4,1,8614,0,40,38,1
41,2,220531,11,2,9,0,4,1,0,0,60,38,1
50,2,176609,6,0,7,1,4,1,0,0,45,38,0
25,2,371987,9,4,3,1,4,0,0,0,40,38,0
50,2,193884,0,2,2,0,4,1,0,0,40,6,0
36,2,200352,9,2,9,0,4,1,0,0,45,38,0
31,2,127595,5,0,9,1,4,0,0,0,40,38,0
29,1,220419,9,4,10,1,4,1,0,0,56,38,0
21,2,231931,6,4,11,3,4,1,0,0,45,38,0
27,2,248402,9,4,12,4,2,0,0,0,40,38,0
65,2,111095,5,2,13,0,4,1,0,0,16,38,0
37,3,57424,9,0,11,1,4,0,0,0,60,38,0
24,2,278130,5,4,2,3,4,1,0,0,40,38,0
38,2,169469,5,0,11,1,4,1,0,0,70,38,0
48,2,146268,9,2,0,0,4,1,7688,0,40,38,1
21,2,153718,6,4,7,1,1,0,0,0,25,38,0
31,2,217460,5,2,13,0,4,1,0,0,45,38,1
55,2,238638,5,2,11,0,4,1,4386,0,40,38,1
24,2,303296,6,2,0,5,1,0,0,0,40,24,0
43,2,173321,5,0,0,1,4,0,0,0,40,38,0
26,2,193945,8,4,12,1,4,1,0,0,45,38,0
46,2,83082,8,4,9,1,4,0,0,0,33,38,0
35,2,193815,8,2,0,0,4,1,0,0,40,38,1
41,3,34987,6,2,4,0,4,1,0,0,54,38,1
26,2,59306,9,4,11,1,4,1,0,0,40,38,0
34,2,142897,10,2,3,0,1,1,7298,0,35,35,1
36,4,205607,9,0,9,1,2,0,0,0,40,38,1
22,2,199698,6,4,11,3,4,1,0,0,15,38,0
24,2,191954,6,4,6,1,4,1,0,0,40,38,0
67,4,138714,6,2,11,0,4,1,0,0,40,38,0
22,2,399087,0,2,6,2,4,0,0,0,40,25,0
29,2,423158,6,4,12,1,4,0,0,0,40,38,0
62,2,159841,5,6,7,1,4,0,0,0,24,38,0
39,4,174308,5,2,3,0,4,1,0,0,40,38,0
43,2,50356,6,2,2,0,4,1,0,1485,50,38,0
35,2,186110,5,0,13,1,4,1,0,0,45,38,0
29,2,200381,3,4,3,1,4,0,0,0,40,38,0
67,4,174309,10,2,2,0,4,1,0,0,15,38,0
63,4,78383,5,2,4,0,4,1,0,0,45,38,0
43,2,187728,6,2,9,5,4,0,0,1887,50,38,1
58,4,321171,5,2,5,0,4,1,0,0,40,38,0
66,2,127921,5,4,13,1,4,1,2050,0,55,38,0
41,2,206565,6,4,2,1,2,1,0,0,45,38,0
26,2,224563,9,4,0,1,4,1,0,0,40,38,0
47,2,178686,7,4,7,1,4,1,0,0,40,38,0
55,1,98545,2,2,0,0,4,1,0,0,40,38,0
53,2,242606,5,2,13,0,4,1,0,0,40,38,0
18,2,270942,0,4,7,2,4,1,0,0,48,25,0
30,2,94235,5,4,2,2,4,1,0,0,40,38,0
49,2,71195,10,4,9,1,4,1,0,0,60,38,0
19,2,104112,5,4,11,4,2,1,0,0,30,13,0
45,2,261192,5,2,7,0,2,1,0,0,40,38,0
26,2,94936,8,4,11,1,4,1,0,0,40,38,0
38,2,296478,7,2,2,0,4,1,7298,0,40,38,1
36,5,119272,5,2,10,0,4,1,7298,0,40,38,1
33,2,85043,5,4,4,1,4,1,0,0,20,38,0
22,5,293364,6,4,10,3,2,0,0,0,40,38,0
43,4,241895,9,4,11,1,4,1,0,0,42,38,0
56,2,101128,8,3,7,1,4,1,0,0,25,19,0
31,2,156464,9,4,9,3,4,1,0,0,25,38,0
33,2,117963,9,2,3,0,4,1,0,0,40,38,1
26,2,192262,5,2,7,0,4,1,0,0,40,38,0
33,2,111363,9,2,3,0,4,1,0,0,40,38,1
46,1,329752,3,2,13,0,4,1,0,0,30,38,0
38,0,95432,5,2,0,0,4,1,0,0,40,38,1
65,2,161400,3,6,7,4,3,1,0,0,40,38,0
40,2,96129,7,2,12,0,4,1,0,0,40,38,1
42,2,111949,5,2,0,5,4,0,0,0,35,38,0
26,4,117125,1,2,2,0,4,1,0,0,40,31,0
36,2,348022,2,2,7,5,4,0,0,0,24,38,0
62,2,270092,10,2,9,0,4,1,0,0,40,38,1
43,2,180609,9,2,13,0,4,1,0,0,45,38,0
43,2,174575,9,0,3,1,4,1,0,1564,45,38,1
22,2,410439,5,3,11,1,4,1,0,0,55,38,0
28,2,92262,5,2,2,0,4,1,0,0,40,38,0
56,4,183081,6,2,11,0,4,1,0,0,45,38,0
22,2,362589,8,4,11,1,4,0,0,0,15,38,0
57,2,212448,9,0,3,1,4,0,0,0,45,38,1
39,2,430828,5,0,11,4,4,0,0,0,40,38,0
26,0,185885,6,4,0,4,4,0,0,0,15,38,0
18,2,89821,3,4,7,3,4,1,0,0,15,38,0
40,5,184018,7,2,6,0,4,1,0,0,38,38,1
45,2,256649,5,2,6,0,2,1,0,0,40,38,0
44,2,160323,5,4,2,1,2,1,0,0,40,38,0
20,1,350845,6,4,0,3,4,0,0,0,15,38,0
33,2,267404,5,2,2,5,4,0,0,0,40,38,0
23,2,35633,6,4,11,1,4,1,0,0,40,38,0
46,4,80914,10,0,3,1,4,1,0,0,30,38,0
38,2,172927,5,2,11,0,4,1,0,0,50,38,0
54,2,174319,5,0,13,1,4,1,0,0,40,38,0
46,2,214955,0,0,2,1,4,0,0,1887,45,38,0
25,2,344991,6,2,2,0,4,1,0,0,40,38,0
46,2,108699,6,0,11,1,4,0,0,0,40,38,0
36,1,117312,6,2,13,5,4,0,0,0,40,38,0
23,2,396099,5,4,7,1,4,0,0,0,25,38,0
29,2,134152,5,5,6,1,4,1,0,0,40,38,0
44,2,162028,6,2,0,5,4,0,0,1887,15,38,1
19,2,32372,6,4,0,3,4,0,0,0,16,38,0
19,2,232392,5,4,7,2,4,0,0,0,40,38,0
35,2,220098,5,2,7,5,4,0,0,0,40,38,1
27,2,301302,9,4,2,1,4,1,0,0,50,38,0
46,4,277946,8,5,2,1,4,1,0,0,40,38,0
34,2,196164,5,4,7,1,4,0,0,0,35,38,0
44,2,115562,6,2,12,0,4,1,0,0,40,38,0
45,2,96975,6,0,5,4,4,0,0,0,40,38,0
25,2,86872,9,2,3,0,4,1,0,0,55,38,1
52,3,132178,9,2,3,0,4,1,0,0,50,38,1
20,2,416103,6,4,5,3,4,1,0,0,40,38,0
28,2,108574,6,4,7,1,4,0,0,0,40,38,0
50,5,288353,9,2,10,0,4,1,0,0,40,38,1
34,2,227689,7,0,12,1,4,0,0,0,64,38,0
28,2,166481,0,2,5,0,3,1,0,1887,40,32,0
41,2,430828,10,2,3,0,4,1,0,1887,65,38,1
28,2,110145,5,2,0,0,4,1,0,0,40,38,0
46,4,317253,5,2,2,0,4,1,0,0,25,38,0
32,2,364657,6,2,3,0,4,1,0,0,50,38,0
41,1,42346,6,0,7,1,2,0,0,0,24,38,0
24,2,241951,5,4,5,4,2,0,0,0,40,38,0
33,2,118500,6,0,3,4,4,0,0,0,40,38,0
46,2,188386,11,2,3,0,4,1,8614,0,60,38,1
31,5,430828,6,2,6,0,4,1,0,0,40,38,0
35,2,92440,4,0,2,1,4,1,0,0,50,38,1
52,2,190762,0,2,6,0,4,1,0,0,40,25,0
30,2,426017,3,4,7,3,4,0,0,0,19,38,0
34,1,243867,3,5,6,1,2,1,0,0,40,38,0
34,5,240283,5,0,13,4,4,0,0,0,40,38,0
20,2,61777,6,2,11,0,4,1,0,0,30,38,0
18,2,175024,3,4,5,3,4,1,2176,0,18,38,0
32,5,92003,9,2,3,5,4,0,0,0,40,38,1
29,2,188401,5,0,4,1,4,1,0,0,40,38,0
33,2,228528,2,4,2,4,4,0,0,0,35,38,0
25,2,133373,5,2,13,0,4,1,0,0,60,38,0
36,0,255191,10,4,9,1,4,1,0,1408,40,38,0
23,2,204653,5,4,5,1,4,1,0,0,70,5,0
63,3,222289,5,2,3,0,4,1,0,0,40,38,1
47,1,287480,10,2,9,0,4,1,0,0,40,38,0
40,4,204116,9,3,9,1,4,0,2174,0,40,38,0
30,2,32372,8,2,7,5,4,0,0,0,25,38,1
27,2,116358,6,4,2,3,1,1,0,1887,40,29,0
33,2,208405,10,2,9,0,4,1,0,0,50,38,1
34,1,284843,5,4,4,1,2,1,594,0,60,38,0
34,1,117018,6,4,10,1,4,0,0,0,40,38,0
23,2,81281,6,2,0,0,4,1,0,0,40,38,0
42,1,340148,6,2,0,5,4,0,0,0,40,38,0
29,2,363425,9,4,9,1,4,1,0,0,40,38,0
45,2,45857,5,0,0,1,4,0,0,0,28,38,0
24,0,191073,5,4,1,3,4,1,0,0,40,38,0
44,2,116632,6,2,9,0,4,1,0,0,40,38,1
27,2,405855,1,4,2,2,4,1,0,0,40,25,0
20,2,298227,6,4,11,1,4,1,0,0,35,38,0
44,2,290521,5,6,3,4,2,0,0,0,40,38,0
51,2,56915,5,2,2,0,0,1,0,0,40,38,0
20,2,146538,5,2,6,0,4,1,0,0,40,38,0
19,2,206399,5,4,6,3,2,0,0,0,40,38,0
45,3,197332,6,2,2,0,4,1,0,0,55,38,1
60,2,245062,5,2,2,0,4,1,0,0,40,38,1
44,4,234885,5,2,11,5,4,0,0,0,40,38,1
40,2,72887,7,2,6,0,1,1,0,0,40,38,1
30,2,180374,5,2,3,5,4,0,0,0,40,38,0
38,2,351299,6,2,13,0,2,1,0,0,50,38,0
23,2,54012,5,2,13,0,4,1,0,0,60,38,0
44,2,116632,8,4,4,3,4,1,0,0,40,38,0
54,1,288825,5,2,13,0,2,1,0,0,40,38,0
32,2,132601,9,2,9,0,4,1,0,0,50,38,0
50,2,193374,0,3,2,4,4,1,0,0,40,38,0
24,2,170070,9,4,12,1,4,0,0,0,20,38,0
37,2,126708,5,2,0,5,4,0,0,0,60,38,0
52,2,35598,5,0,13,4,4,1,0,0,40,38,0
38,2,33983,6,2,13,0,4,1,0,0,40,38,0
49,2,192776,10,2,3,0,4,1,0,1887,45,38,1
30,2,118551,9,2,12,5,4,0,0,0,16,38,1
60,2,201965,6,4,9,4,4,1,0,0,40,38,1
35,2,285020,5,4,2,1,4,1,0,0,40,38,0
30,2,303990,5,4,13,1,4,1,0,0,60,38,0
67,2,49401,7,0,7,1,4,0,0,0,24,38,0
46,2,279196,9,4,2,1,4,0,0,0,40,38,0
18,2,211870,1,4,7,1,4,1,0,0,15,38,0
22,2,281432,6,4,5,3,4,1,0,0,30,38,0
27,2,161155,2,4,7,1,4,1,0,0,40,38,0
23,2,197904,5,4,7,4,4,0,0,0,35,38,0
33,2,111746,8,2,2,0,4,1,0,0,45,31,0
43,4,170721,6,2,2,0,4,1,0,0,20,38,0
28,5,70100,9,4,9,1,4,1,0,0,20,38,0
41,2,193626,5,3,2,4,4,0,0,0,40,38,0
25,2,189775,6,3,0,3,2,0,0,0,20,38,0
59,1,286967,5,2,13,0,4,1,0,0,45,38,0
45,1,164427,9,0,9,4,4,0,0,0,40,38,0
38,2,91039,9,2,11,0,4,1,8614,0,60,38,1
40,2,347934,5,4,7,1,4,0,0,0,35,38,0
46,0,371373,5,0,0,1,4,1,0,0,40,38,0
35,2,32372,8,4,3,1,4,0,0,0,60,38,0
34,2,187251,5,0,9,4,4,0,0,0,25,38,0
33,2,178107,9,4,2,3,4,1,0,0,20,38,0
41,2,343121,5,0,0,4,4,0,0,0,36,38,0
20,2,262749,6,4,6,3,4,1,0,0,40,38,0
23,2,403107,0,4,7,3,4,1,0,0,40,7,0
26,2,64293,6,4,9,1,4,0,0,0,35,38,0
23,1,324960,5,4,4,1,4,1,0,0,40,30,0
62,1,114060,5,2,13,0,4,1,0,0,40,38,0
52,2,48925,6,2,0,0,4,1,0,0,40,38,0
58,2,180980,6,0,7,4,4,0,0,0,42,9,0
25,2,181054,9,4,11,1,4,0,0,0,40,38,0
24,2,388093,9,4,3,1,2,1,0,0,40,38,0
19,2,249609,6,4,10,3,4,1,0,0,15,38,0
43,2,112131,6,2,3,0,4,1,0,0,40,38,0
47,1,430828,5,5,0,4,2,0,0,0,40,38,0
39,2,91996,5,0,7,4,4,0,0,0,40,38,0
49,2,141944,7,3,5,4,4,1,0,1380,42,38,0
32,2,37070,7,4,2,1,4,1,0,0,45,38,0
34,2,337587,6,2,9,0,4,1,0,0,50,38,1
28,2,189346,5,0,2,1,4,1,0,0,45,38,0
25,2,267044,6,4,0,1,0,0,0,0,20,38,0
